"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"unc-14_e57 (pp) unc-2_gk366","726.9981394","0.48","pp","0.127921389","unc-14_e57 (pp) unc-2_gk366","false","pp","unc-14_e57 (pp) unc-2_gk366"
"unc-14_e57 (pp) unc-26_m2","72.88619713","0.46","pp","0.06696586","unc-14_e57 (pp) unc-26_m2","false","pp","unc-14_e57 (pp) unc-26_m2"
"unc-104_e1265 (pp) unc-44_e1197","270.95951884","0.63","pp","0.213268921","unc-104_e1265 (pp) unc-44_e1197","false","pp","unc-104_e1265 (pp) unc-44_e1197"
"unc-104_e1265 (pp) unc-3_e151","51.67266862","0.42","pp","0.128948581","unc-104_e1265 (pp) unc-3_e151","false","pp","unc-104_e1265 (pp) unc-3_e151"
"unc-104_e1265 (pp) unc-2_gk366","442.6554035","0.43","pp","0.151460792","unc-104_e1265 (pp) unc-2_gk366","false","pp","unc-104_e1265 (pp) unc-2_gk366"
"unc-104_e1265 (pp) unc-26_m2","42.98070733","0.42","pp","0.126120813","unc-104_e1265 (pp) unc-26_m2","false","pp","unc-104_e1265 (pp) unc-26_m2"
"unc-104_e1265 (pp) unc-14_e57","4.0","0.57","pp","0.136052819","unc-104_e1265 (pp) unc-14_e57","false","pp","unc-104_e1265 (pp) unc-14_e57"
"unc-118_e2331 (pp) unc-1_e94","19.87503742","0.41","pp","0.053705208","unc-118_e2331 (pp) unc-1_e94","false","pp","unc-118_e2331 (pp) unc-1_e94"
"unc-10_e102 (pp) unc-115_mn481","165.87957793","0.46","pp","0.123395801","unc-10_e102 (pp) unc-115_mn481","false","pp","unc-10_e102 (pp) unc-115_mn481"
"unc-8_e15lb145 (pp) unc-98_st85","31.61867873","0.48","pp","0.158795569","unc-8_e15lb145 (pp) unc-98_st85","false","pp","unc-8_e15lb145 (pp) unc-98_st85"
"unc-89_e1460 (pp) unc-98_st85","2.0","0.93","pp","0.173350089","unc-89_e1460 (pp) unc-98_st85","false","pp","unc-89_e1460 (pp) unc-98_st85"
"unc-89_e1460 (pp) unc-8_e15lb145","31.61867873","0.52","pp","0.135853441","unc-89_e1460 (pp) unc-8_e15lb145","false","pp","unc-89_e1460 (pp) unc-8_e15lb145"
"tdc-1_n3419 (pp) unc-29_e193","34.91539663","0.48","pp","0.110779752","tdc-1_n3419 (pp) unc-29_e193","false","pp","tdc-1_n3419 (pp) unc-29_e193"
